Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Abscissa,,,横坐标,,,橫座標,,
Absolute Convergence,,,绝对收敛,,,絕對收斂,,
Absolute Maximum,,,绝对最大值,,,絕對最大值,,
Absolute Minimum,,,绝对最小值,,,絕對最小值,,
Absolute Value,,,绝对值,,,絕對值,,
Absolute Value of a Complex Number,,,复数的绝对值,,,一個複數的絕對值,,
Absolute Value Rules,,,绝对值规则,,,絕對值規則,,
Absolutely Convergent,,,绝对收敛的,,,絕對收斂,,
acute angle,,,锐角,,,銳角,,
Addition Rule,,,加法法则,,,加法法則,,
Additive Inverse of a Matrix,,,矩阵的加法逆元,,,一個矩陣加法逆元,,
Additive Inverse of a Number,,,数位的加法逆元,,,數位的加法逆元,,
Additive Property of Equality,,,加和性的平等,,,加和性的平等,,
Adjacent,,,相邻,,,相鄰,,
Adjacent Angles,,,邻角,,,鄰角,,
Adjoint,,,伴随,,,伴隨,,
Affine Transformation,,,仿射变换,,,仿射變換,,
Aleph Null (א‎0),,,Aleph Null （א 0）,,,艾禮富 Null （א 0）,,
Algebraic Numbers,,,代数,,,代數,,
algorithm,,,算法,,,演算法,,
Alpha (Α α),,,Alpha (Α α),,,阿爾法 (Α α),,
alternate interior angles,,,内错角,,,備用的角度,,
Alternate Exterior Angles,.,,外错角,,,備用外角,,
Alternate Interior Angles,.,,内错角,,,備用內角,,
Alternating Series,,,交错级数,,,交錯級數,,
Alternating Series Remainder,,,交替系列的余数,,,交替系列的餘數,,
Alternating Series Test,,,交替的系列试验,,,交替的系列試驗,,
Altitude,,,高度,,,海拔高度,,
Amplitude,,,振幅,,,振幅,,
Analytic Geometry,,,解析几何,,,解析幾何,,
Analytic Methods,,,分析方法,,,分析方法,,
Angle,,,角,,,角,,
Angle Bisector,,,角平分线,,,角平分線,,
Angle of Depression,,,俯角,,,俯角,,
Angle of Elevation,,,高程的角度,,,高程的角度,,
Angle of Inclination of a Line,,,一条线的倾角,,,一條線的傾角,,
Annulus,,,环,,,環,,
Anticlockwise,,,逆时针,,,逆時針,,
Antiderivative of a Function,,,反导数,,,反導數,,
Antipodal Points,,,对跖点,,,對蹠點,,
Apex,,,顶点,,,先端,,
Apothem,,,边心距离,,,邊心距離,,
Approximation by Differentials,,,微分估值,,,逼近的差異,,
Arc Length of a Curve,,,曲线的弧长,,,曲線的弧長,,
Arc of a Circle,,,圆的弧,,,一個圓的圓弧,,
arccos,,,反余弦,,,arccos,,
arccosec,,,反余割,,,arccosec,,
arccot,,,反余切,,,arccot,,
Arccot,,,反余切,,,Arccot,,
arccsc,,,反余割,,,arccsc,,
Arccsc,,,反余割,,,Arccsc,,
arcsec,,,反正割,,,arcsec,,
Arcsec,,,反正割,,,Arcsec,,
arcsin,,,反正弦,,,arcsin,,
arctan,,,反正切,,,反正切值,,
Arctan,,,反正切,,,反正切值,,
Curve,,,曲线,,,曲線,,
Curves,,,曲线,,,曲線,,
Circle,,,圆形,,,圓,,
Convex Polygon,,,凸多边形,,,凸多邊形,,
Parabolic Segment,,,抛物线线段,,,拋物型段,,
parallelogram,,,平行四边形,,,平行四邊形,,
Rectangle,,,长方形,,,長方形,,
Regular Polygon,,,正多边形,,,正多邊形,,
Rhombus,,,菱形,,,菱形,,
Sector of a Circle,,,扇形,,,部門的一個圓圈,,
Segment of a Circle,,,弓形,,,部分的一個圓,,
trapezoid,,,梯形,,,梯形,,
Ellipse,,,椭圆形,,,橢圓,,
Equilateral Triangle,,,等边三角形,,,等邊三角形,,
Parametric Equations,,,参数方程式,,,參數方程式,,
Polar Coordinates,,,极座标,,,極座標,,
Argand Plane,,,阿尔冈平面,,,阿爾岡平面,,
Complex Number,,,复数,,,複數,,
Vector,,,向量,,,向量,,
Arithmetic,,,算术,,,算術,,
Arithmetic Mean,,,算术平均值,,,算術平均值,,
arithmetic progression,,,算术级数,,,算術級數,,
Arithmetic sequences,,,算术序列,,,算術序列,,
Arithmetic Series,,,算术系列,,,算術系列,,
Arm of a Right Triangle,,,一个直角三角形的手臂,,,一個直角三角形的手臂,,
Arm of an Angle,,,臂的角度,,,臂的角度,,
ASA Congruence,,,ASA 全等定理,,,ASA 全等,,
asymptote,,,渐近线,,,漸近線,,
Augmented Matrix,,,增广的矩阵,,,增廣的矩陣,,
Average,,,平均水准,,,平均水準,,
average rate of change,,,平均变动率,,,平均變動率,,
average value of a function,,,一个函数的平均值,,,一個函數的平均值,,
Axes,,,轴,,,軸,,
Axiom,,,公理,,,公理,,
Axis of a Cylinder,,,一个圆柱体的轴线,,,一個圓柱體的軸線,,
Axis of Reflection,,,轴的反射,,,軸的反射,,
Axis of Rotation,,,旋转轴,,,旋轉軸,,
the line of reflection,,,对称轴,,,對稱軸,,
Axis of Symmetry of a Parabola,,,抛物线的对称轴,,,抛物線的對稱軸,,
Back Substitution,,,回代,,,回代,,
Base (Geometry),,,底（几何）,,,底（幾何）,,
Exponential Expression,,,指数运算式,,,指數運算式,,
Isosceles Triangle,,,等腰三角形,,,等腰三角形,,
Bernoulli Trials,,,贝努利试验,,,貝努利試驗,,
Beta (Β β),,,Beta (Β β),,,Beta (Β β),,
Biconditional,,,双条件的,,,雙條件的,,
Binomial,,,二项式,,,二項式,,
Binomial Coefficients,,,二次项系数,,,二項式係數,,
Binomial Probability Formula,,,二项分布概率公式,,,二項式概率公式,,
Binomial Theorem,,,二项式定理,,,二項式定理,,
Bisect,,,二等分,,,平分,,
Bisector,,,二等分线,,,平分線,,
Boundary Value Problem,,,边界值问题,,,邊值問題,,
Bounded Function,,,有界函数,,,有界的函數,,
Bounded Sequence,,,有界序列,,,有界的數列,,
Bounded Set of Geometric Points,,,有界几何点集,,,有界幾何點集,,
Bounded Set of Numbers,,,有界数集,,,有界數集,,
Bounds of Integration,,,积分的界限,,,積分的上下限,,
box and whisker plots,,,箱线图,,,盒鬚圖,,
Boxplot,,,箱型图,,,箱線圖,,
Braces,,,大括弧,,,大括弧,,
Brachistochrone,,,速降,,,速降,,
Brackets,,,方括弧,,,方括弧,,
Calculus,,,微积分,,,微積分,,
Cardinal Numbers,,,基数,,,基數,,
Cardinality,,,基数,,,基數,,
Cardioid,,,心形,,,心形,,
Cartesian Coordinates,,,笛卡尔坐标系,,,笛卡爾坐標系,,
Cartesian Form,,,笛卡尔形式,,,笛卡爾形式,,
Cartesian Plane,,,笛卡尔平面,,,笛卡爾平面,,
Catenary,,,悬链线,,,懸鏈線,,
Cavalieri’s Principle,,,祖暅原理,,,祖暅原理,,
Ceiling Function,,,上取整函数,,,上取整函數,,
Center of Mass Formula,,,重心公式,,,重心公式,,
Center of Rotation,,,旋转中心,,,旋轉中心,,
Centers of a Triangle,,,一个三角形的中心,,,一個三角形的中心,,
Central Angle,,,圆心角,,,圓心角,,
Centroid,,,质心,,,質心,,
Centroid Formula,,,质心计算公式,,,質心計算公式,,
Ceva’s Theorem,,,切瓦定理,,,切瓦定理,,
Cevian,,,切氏线,,,切氏線,,
chain rule,,,连锁律,,,連鎖律,,
Change of Base Formula,,,变化基本公式,,,變化基本公式,,
Check a Solution,,,检查解决方案,,,檢查解決方案,,
Chi (Χ χ),,,Chi (Χ χ),,,Chi (Χ χ),,
Chord,,,和絃,,,和絃,,
Circle Identities,,,,,,,,
Circle Trig Definitions,,,,,,,,
Circular Cone,,,圆锥体,,,圓錐,,
Circular Cylinder,,,圆柱体,,,圓柱,,
Circular Functions,,,,,,三角函數,,
Circumcenter,,,外接圆的中心,,,三角形,,
Circumcircle,,,外接圆,,,外接圓,,
Circumference,,,周长,,,周長,,
Circumscribable,,,,,,可被欺騙,,
Circumscribed,,,限制,,,限制,,
Circumscribed Circle,,,外接的圆,,,外接的圓,,
Cis,,,,,,,,
Clockwise,,,顺时针,,,順時針,,
closed Interval,,,闭区间,,,閉區間,,
Coefficient,,,系数,,,係數,,
Coefficient Matrix,,,,,,,,
Cofactor,,,,,,,,
Cofactor Matrix,,,,,,,,
Cofunction Identities,,,,,,,,
Coincident,,,重合,,,重合,,
Collinear,,,同线,,,同線,,
Column of a Matrix,,,矩阵的列,,,矩陣的列,,
Combination,,,组合,,,組合,,
